Specimen ID,Data Source,Order,Family,Genus,Species,Voucher specimen,Specimen barcode,Collection date,Country of origin,Material sampled,No. of genes recovered,No. of bp recovered,Fasta file url
24871,SRA,Lamiales,Lamiaceae,Pseudodictamnus,Pseudodictamnus mediterraneus,,,,,,351,254379,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5150728.Pseudodictamnus_mediterraneus.a353.fasta
24873,SRA,Brassicales,Brassicaceae,Sinalliaria,Sinalliaria limprichtiana,,,,,,350,265803,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR6441723.Sinalliaria_limprichtiana.a353.fasta
24877,SRA,Icacinales,Icacinaceae,Pittosporopsis,Pittosporopsis kerrii,,,,,,350,268509,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR12009645.Pittosporopsis_kerrii.a353.fasta
24879,SRA,Metteniusales,Metteniusaceae,Platea,Platea parvifolia,,,,,,350,240177,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR12009691.Platea_parvifolia.a353.fasta
24883,SRA,Asparagales,Orchidaceae,Phragmipedium,Phragmipedium lindleyanum,,,,,,349,256161,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR6127594.Phragmipedium_lindleyanum.a353.fasta
24885,SRA,Asterales,Asteraceae,Pericallis,Pericallis cruenta,,,,,,351,231852,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR3995486.Pericallis_cruenta.a353.fasta
24887,SRA,Asterales,Asteraceae,Pluchea,Pluchea indica,,,,,,353,259800,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR6650047.Pluchea_indica.a353.fasta
24889,SRA,Asterales,Asteraceae,Parthenium,Parthenium integrifolium,,,,,,352,254157,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5237276.Parthenium_integrifolium.a353.fasta
24891,SRA,Pandanales,Pandanaceae,Pandanus,Pandanus utilis,,,,,,345,183876,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR6374687.Pandanus_utilis.a353.fasta
24893,SRA,Asterales,Asteraceae,Oreoseris,Oreoseris delavayi,,,,,,353,261363,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5480948.Oreoseris_delavayi.a353.fasta
24895,SRA,Ericales,Polemoniaceae,Polemonium,Polemonium pulcherrimum,,,,,,351,258744,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR12002078.Polemonium_pulcherrimum.a353.fasta
24897,SRA,Caryophyllales,Caryophyllaceae,Polycarpon,Polycarpon tetraphyllum,,,,,,351,256008,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR6435301.Polycarpon_tetraphyllum.a353.fasta
24899,SRA,Fabales,Fabaceae,Pongamia,Pongamia pinnata,,,,,,351,234378,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR1834661.Pongamia_pinnata.a353.fasta
24901,SRA,Lamiales,Lamiaceae,Premna,Premna microphylla,,,,,,353,263019,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5150707.Premna_microphylla.a353.fasta
24903,SRA,Lamiales,Lamiaceae,Prostanthera,Prostanthera lasianthos,,,,,,351,265950,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5150720.Prostanthera_lasianthos.a353.fasta
24905,SRA,Brassicales,Brassicaceae,Olimarabidopsis,Olimarabidopsis pumila,,,,,,350,254031,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR11638365.Olimarabidopsis_pumila.a353.fasta
24909,SRA,Lamiales,Carlemanniaceae,Silvianthus,Silvianthus bracteatus,,,,,,350,246615,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR12009658.Silvianthus_bracteatus.a353.fasta
24911,SRA,Ericales,Lecythidaceae,Gustavia,Gustavia superba,,,,,,351,257436,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR8599237.Gustavia_superba.a353.fasta
24913,SRA,Lamiales,Lamiaceae,Gmelina,Gmelina philippensis,,,,,,352,255894,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5150697.Gmelina_philippensis.a353.fasta
24915,SRA,Lamiales,Lamiaceae,Glechoma,Glechoma hederacea,,,,,,352,260826,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5150732.Glechoma_hederacea.a353.fasta
24917,SRA,Lamiales,Gesneriaceae,Gesneria,Gesneria pedicellaris,,,,,,347,239031,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR12034779.Gesneria_pedicellaris.a353.fasta
24919,SRA,Asterales,Asteraceae,Sanvitalia,Sanvitalia procumbens,,,,,,350,241911,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5237281.Sanvitalia_procumbens.a353.fasta
24923,SRA,Fabales,Fabaceae,Inga,Inga umbellifera,,,,,,352,241950,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR776803.Inga_umbellifera.a353.fasta
24927,SRA,Caryophyllales,Amaranthaceae,Salicornia,Salicornia europaea,,,,,,349,196467,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR944676.Salicornia_europaea.a353.fasta
24929,SRA,Ericales,Actinidiaceae,Saurauia,Saurauia tristyla,,,,,,352,240162,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR11994221.Saurauia_tristyla.a353.fasta
24931,SRA,Malpighiales,Malpighiaceae,Hiptage,Hiptage benghalensis,,,,,,350,258570,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR7800916.Hiptage_benghalensis.a353.fasta
24933,SRA,Fabales,Fabaceae,Senegalia,Senegalia senegal,,,,,,343,134874,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR420512.Senegalia_senegal.a353.fasta
